status,card_present_flag,txn_description,merchant_id,balance,date,gender,age,merchant_suburb,merchant_state,transaction_date_time,amount,customer_id,movement,customer_longitude,customer_latitude,merchant_longitude,merchant_latitude
authorized,1,POS,b5565fff-0333-4c74-a61a-56a074d0ec0f,708.28,2018-08-01,F,24,Brunswick,VIC,2018-08-01 08:00:11+00:00,7.37,CUS-3378712515,debit,145.45,-37.74,144.96,-37.78
authorized,1,POS,f2ef6270-cf91-409f-a6a2-fbd6735ea500,3.85,2018-08-01,F,26,Byron Bay,NSW,2018-08-01 08:09:42+00:00,14.1,CUS-2487424745,debit,153.41,-27.95,153.6,-28.63
authorized,0,POS,7e8bf667-e724-4359-a406-3538a3e27b4e,275.93,2018-08-01,M,37,Lismore,NSW,2018-08-01 08:19:14+00:00,24.77,CUS-2695611575,debit,153.32,-27.93,153.28,-28.81
authorized,1,SALES-POS,38997041-c666-41a4-857b-9aaea10c008d,259.37,2018-08-01,F,25,Fremantle,WA,2018-08-01 08:28:45+00:00,13.67,CUS-1669695324,debit,115.74,-31.72,115.76,-32.06
authorized,0,POS,354f40cb-55bc-4a81-a00d-c7faede29f8b,30583.15,2018-08-01,F,43,Mordialloc,VIC,2018-08-01 08:47:48+00:00,12.08,CUS-3255104878,debit,145.35,-38.03,145.09,-38.01
authorized,1,POS,7ec296e9-6feb-46b0-b755-115ce31678c1,793.64,2018-08-01,M,21,Chatswood,NSW,2018-08-01 08:57:20+00:00,72.12,CUS-537508723,debit,147.08,-37.97,151.18,-33.8
posted,0,INTER BANK,,4474.38,2018-08-01,F,39,,,2018-08-01 09:00:00+00:00,25.0,CUS-2376382098,debit,151.04,-33.80,,
posted,0,PAYMENT,,586.2,2018-08-01,M,31,,,2018-08-01 09:00:00+00:00,36.0,CUS-3129499595,debit,150.92,-33.77,,
authorized,1,SALES-POS,8a0fab50-4efb-41e2-a569-29346eb6c9de,1636.91,2018-08-01,F,19,Granville,NSW,2018-08-01 09:02:54+00:00,17.96,CUS-883482547,debit,150.82,-34.01,151,-33.83
authorized,1,SALES-POS,73b8eb5f-d6e6-43fb-896a-84faa162d544,11525.54,2018-08-01,M,24,Pacific Paradise,QLD,2018-08-01 09:06:57+00:00,14.49,CUS-51506836,debit,152.99,-27.49,153.08,-26.61
authorized,0,SALES-POS,4af25042-a1a4-4688-90b5-240d790e5332,1625.34,2018-08-01,F,19,Alexandria,NSW,2018-08-01 09:11:00+00:00,11.57,CUS-883482547,debit,150.82,-34.01,151.19,-33.92
authorized,1,POS,02d45834-6f65-4f52-9a33-0b242dd7a078,2072.1,2018-08-01,F,40,North Lakes,QLD,2018-08-01 09:15:03+00:00,45.12,CUS-1614226872,debit,153.10,-27.66,152.99,-27.21
authorized,0,POS,a08935a2-99a8-49f0-b73a-f8de51ca0abd,12529.59,2018-08-01,F,34,Findon,SA,2018-08-01 09:19:06+00:00,33.89,CUS-1196156254,debit,138.52,-35.01,138.53,-34.9
authorized,1,SALES-POS,66c00c79-11a0-4c11-af28-a31a40931a90,698.61,2018-08-01,F,24,Doncaster,VIC,2018-08-01 09:23:09+00:00,9.67,CUS-3378712515,debit,145.45,-37.74,145.13,-37.78
authorized,1,POS,7a368a0e-c231-4458-a4e0-43a3f6953954,2086.31,2018-08-01,M,25,Smithfield,QLD,2018-08-01 09:27:12+00:00,4.38,CUS-2178051368,debit,145.73,-17.03,145.7,-16.81
authorized,1,POS,0898833a-fca8-40b5-a738-8e1d4aa98322,1689.89,2018-08-01,F,21,Alstonville,NSW,2018-08-01 09:39:21+00:00,28.49,CUS-809013380,debit,114.62,-28.80,153.44,-28.84
authorized,1,POS,55800aa3-486e-43f1-a0a3-1130709e4c0f,1675.46,2018-08-01,F,21,Leonora,WA,2018-08-01 09:43:24+00:00,14.43,CUS-809013380,debit,114.62,-28.80,121.33,-28.9
authorized,1,SALES-POS,30077f02-9082-4179-b287-3c927eed1be9,11438.51,2018-08-01,M,24,Greenslopes,QLD,2018-08-01 09:47:26+00:00,87.03,CUS-51506836,debit,152.99,-27.49,153.05,-27.51
authorized,1,POS,b7b3f792-717c-4e96-ab82-1580ec58a612,38.42,2018-08-01,F,18,Browns Plains,QLD,2018-08-01 09:51:29+00:00,36.28,CUS-3702001629,debit,153.09,-27.48,153.05,-27.66
authorized,0,POS,e54ebe26-344e-4084-a102-4ca6bf82b25b,1089.59,2018-08-01,F,20,West Perth,WA,2018-08-01 09:55:32+00:00,15.91,CUS-127297539,debit,115.79,-31.79,115.84,-31.95
authorized,1,POS,9ba904d4-5b0e-403c-b1bc-71e6a2bcdc0f,49756.21,2018-08-01,M,78,Preston,VIC,2018-08-01 09:59:35+00:00,25.7,CUS-1646183815,debit,145.09,-37.82,145.03,-37.74
posted,0,PAYMENT,,2040.1,2018-08-01,F,40,,,2018-08-01 10:00:00+00:00,32.0,CUS-1614226872,debit,153.10,-27.66,,
posted,0,INTER BANK,,137.14,2018-08-01,F,20,,,2018-08-01 10:00:00+00:00,39.0,CUS-164374203,debit,150.68,-33.79,,
posted,0,PAYMENT,,292.77,2018-08-01,M,22,,,2018-08-01 10:00:00+00:00,34.0,CUS-2283904812,debit,145.03,-37.88,,
posted,0,PAYMENT,,28.04,2018-08-01,M,27,,,2018-08-01 10:00:00+00:00,29.0,CUS-3180318393,debit,144.71,-37.58,,
posted,0,PAYMENT,,754.2,2018-08-01,M,42,,,2018-08-01 10:00:00+00:00,150.0,CUS-3904958894,debit,150.90,-33.78,,
posted,0,PAYMENT,,763.64,2018-08-01,M,21,,,2018-08-01 10:00:00+00:00,30.0,CUS-537508723,debit,147.08,-37.97,,
authorized,1,SALES-POS,26f1b7d4-64fb-4c25-8734-47f7409fa7c1,301.65,2018-08-01,M,38,Bomaderry,NSW,2018-08-01 10:12:51+00:00,20.43,CUS-1604596597,debit,138.67,-34.86,150.6,-34.84
authorized,0,SALES-POS,7ce5471b-363c-46ab-b398-ca517347829a,1290.08,2018-08-01,M,22,Sydney,NSW,2018-08-01 10:27:08+00:00,31.62,CUS-1617121891,debit,255.00,-573.00,151.21,-33.87
authorized,1,SALES-POS,932b9301-65da-4718-aa78-679daba791fb,18784.07,2018-08-01,F,38,Doncaster,VIC,2018-08-01 10:41:25+00:00,16.13,CUS-2206365095,debit,144.89,-37.81,145.13,-37.78
authorized,1,POS,07df1647-c4aa-479b-a7c2-1952aafbc6bb,29645.42,2018-08-01,F,43,Dandenong South,VIC,2018-08-01 10:55:42+00:00,937.73,CUS-3255104878,debit,145.35,-38.03,145.21,-38.03
posted,0,PAY/SALARY,,8342.11,2018-08-01,M,23,,,2018-08-01 11:00:00+00:00,3903.95,CUS-1462656821,credit,151.27,-33.76,,
posted,0,PAYMENT,,1195.08,2018-08-01,M,22,,,2018-08-01 11:00:00+00:00,95.0,CUS-1617121891,debit,255.00,-573.00,,
authorized,1,POS,a1ca1b7e-a737-4fc8-b070-3e606f52c0d6,454.94,2018-08-01,M,40,Margaret River,WA,2018-08-01 11:04:45+00:00,11.64,CUS-2031327464,debit,151.23,-33.96,115.07,-33.95
authorized,1,POS,6beb3465-4cb7-449b-b395-0eaa7764d4fe,27.86,2018-08-01,F,43,Robinvale,VIC,2018-08-01 11:11:33+00:00,28.0,CUS-2599279756,debit,142.77,-37.06,142.77,-34.58
authorized,1,POS,a33597e2-742c-4bde-aa32-880e687454b2,689.22,2018-08-01,M,42,Chatswood,NSW,2018-08-01 11:18:22+00:00,64.98,CUS-3904958894,debit,150.90,-33.78,151.2,-33.79
authorized,1,SALES-POS,1c6feb54-37a6-47b4-ae0a-a2f3005e7087,440.66,2018-08-01,M,40,Chatswood,NSW,2018-08-01 11:25:10+00:00,14.28,CUS-2031327464,debit,151.23,-33.96,151.18,-33.8
authorized,1,SALES-POS,54b35383-6f69-453b-be91-b63005b97135,29143.75,2018-08-01,F,43,Mossman Gorge,QLD,2018-08-01 11:31:58+00:00,501.67,CUS-3255104878,debit,145.35,-38.03,145.35,-16.47
authorized,1,POS,1e7209b8-f5d6-4241-a328-f0aa772d0c3b,58154.74,2018-08-01,M,33,Rockbank,VIC,2018-08-01 11:38:46+00:00,17.97,CUS-3117610635,debit,145.13,-37.70,144.63,-37.7
authorized,0,POS,e77e7118-9958-4ae0-8ecd-b705bde43c16,589.1,2018-08-01,F,24,Sydney,NSW,2018-08-01 11:45:34+00:00,109.51,CUS-3378712515,debit,145.45,-37.74,151.21,-33.87
authorized,0,POS,cd28c099-0971-41a5-a9cc-d44477c350df,2058.92,2018-08-01,M,25,Cobram,VIC,2018-08-01 11:52:22+00:00,27.39,CUS-2178051368,debit,145.73,-17.03,145.65,-35.92
authorized,1,POS,b64b1423-0992-4942-b955-5785b81c1cd6,1109.58,2018-08-01,M,24,Kilsyth,VIC,2018-08-01 11:59:11+00:00,27.39,CUS-1433879684,debit,145.00,-37.83,145.32,-37.8
posted,0,PAY/SALARY,,2040.58,2018-08-01,F,23,,,2018-08-01 12:00:00+00:00,1626.48,CUS-2500783281,credit,145.01,-37.93,,
posted,0,PAYMENT,,3071.94,2018-08-01,F,26,,,2018-08-01 12:00:00+00:00,46.0,CUS-2630892467,debit,149.03,-34.97,,
posted,0,INTER BANK,,150.08,2018-08-01,F,27,,,2018-08-01 12:00:00+00:00,57.0,CUS-3026014945,debit,116.06,-32.00,,
posted,0,PAY/SALARY,,3158.51,2018-08-01,M,22,,,2018-08-01 12:00:00+00:00,983.36,CUS-326006476,credit,151.18,-33.80,,
posted,0,PAYMENT,,186371.86,2018-08-01,F,40,,,2018-08-01 12:00:00+00:00,170.0,CUS-527400765,debit,143.83,-37.66,,
authorized,1,POS,7cdb62b5-6632-4d1d-8e28-a4d26f5cbb74,4172.16,2018-08-01,M,19,Ceduna,SA,2018-08-01 12:15:26+00:00,3.28,CUS-443776336,debit,115.98,-32.07,133.67,-32.11
authorized,1,POS,94f323d7-ffeb-4b35-9c10-e5670d9b7bd8,30163.44,2018-08-01,M,28,Bass Hill,NSW,2018-08-01 12:50:31+00:00,33.45,CUS-2663907001,debit,151.12,-33.89,150.99,-33.9
posted,0,PAY/SALARY,,2517.66,2018-08-01,M,24,,,2018-08-01 13:00:00+00:00,1408.08,CUS-1433879684,credit,145.00,-37.83,,
posted,0,INTER BANK,,2032.92,2018-08-01,M,25,,,2018-08-01 13:00:00+00:00,26.0,CUS-2178051368,debit,145.73,-17.03,,
posted,0,PAY/SALARY,,2271.79,2018-08-01,F,43,,,2018-08-01 13:00:00+00:00,1068.04,CUS-4123612273,credit,144.95,-37.76,,
authorized,0,POS,47fc3b6a-6e2d-4cd1-87ce-00360cf62893,29128.11,2018-08-01,F,43,Lara,VIC,2018-08-01 13:45:33+00:00,15.64,CUS-3255104878,debit,145.35,-38.03,144.4,-38.02
posted,0,PAY/SALARY,,1017.52,2018-08-01,F,26,,,2018-08-01 14:00:00+00:00,1013.67,CUS-2487424745,credit,153.41,-27.95,,
authorized,1,POS,4969262f-2161-43c1-a48d-1799844fb859,119.88,2018-08-01,F,20,Minchinbury,NSW,2018-08-01 14:01:55+00:00,17.26,CUS-164374203,debit,150.68,-33.79,150.83,-33.79
authorized,0,SALES-POS,17d20b9f-f49d-4164-9e7d-a1043052faae,538.85,2018-08-01,F,24,Melbourne,VIC,2018-08-01 14:10:42+00:00,50.25,CUS-3378712515,debit,145.45,-37.74,144.96,-37.81
authorized,1,POS,73c0924f-dc35-4ab1-8136-2b5775cf4280,486.68,2018-08-01,F,34,Stuart Park,NT,2018-08-01 14:19:28+00:00,22.25,CUS-4142663097,debit,130.90,-12.37,130.84,-12.44
authorized,1,SALES-POS,1ab3e343-3775-4d54-9dac-2b0834500025,2029.05,2018-08-01,F,40,Port Macquarie,NSW,2018-08-01 14:28:14+00:00,11.05,CUS-1614226872,debit,153.10,-27.66,152.92,-31.43
authorized,1,POS,499b1c74-d767-43d6-a084-b20d00010c70,1609.16,2018-08-01,F,19,Blacktown,NSW,2018-08-01 14:37:01+00:00,16.18,CUS-883482547,debit,150.82,-34.01,150.91,-33.77
authorized,0,SALES-POS,89556e0f-b593-4b89-adb4-8f279923bb24,429.2,2018-08-01,M,40,Brookvale,NSW,2018-08-01 14:45:47+00:00,11.46,CUS-2031327464,debit,151.23,-33.96,151.27,-33.77
posted,0,PAYMENT,,86.91,2018-08-01,F,18,,,2018-08-01 15:00:00+00:00,36.0,CUS-1842679196,debit,138.61,-34.89,,
posted,0,PAYMENT,,28453.87,2018-08-01,M,38,,,2018-08-01 15:00:00+00:00,35.0,CUS-3249305314,debit,151.27,-33.90,,
authorized,0,POS,0bf7d15e-20d0-4246-8e99-59c3dd1a2dcb,86.3,2018-08-01,F,30,Windsor,VIC,2018-08-01 15:02:21+00:00,5.29,CUS-1271030853,debit,145.04,-37.85,144.99,-37.86
authorized,1,SALES-POS,31409513-c87e-497b-bcdb-4f91c51b5996,1602.58,2018-08-01,F,19,Hurstville,NSW,2018-08-01 15:08:34+00:00,6.58,CUS-883482547,debit,150.82,-34.01,151.1,-33.97
authorized,1,SALES-POS,e3136489-2e9f-4490-a7a4-9b5a8355776c,713.56,2018-08-01,M,26,O'connor,WA,2018-08-01 15:27:12+00:00,16.03,CUS-1646621553,debit,115.78,-31.90,115.8,-32.07
authorized,1,POS,e9d1bc97-2073-4ede-9665-ab400e8e7be6,143.4,2018-08-01,F,21,Coconut Grove,NT,2018-08-01 15:33:24+00:00,32.41,CUS-325142416,debit,130.84,-12.45,130.85,-12.4
authorized,1,SALES-POS,9f0244d9-2b86-4065-85dc-6c2089ddc749,750.75,2018-08-01,M,21,Wheelers Hill,VIC,2018-08-01 15:39:37+00:00,12.89,CUS-537508723,debit,147.08,-37.97,145.16,-37.91
authorized,1,POS,bedfaec0-2483-449c-9d0f-b8492469a4a2,697.46,2018-08-01,M,26,Taree,NSW,2018-08-01 15:45:50+00:00,16.1,CUS-1646621553,debit,115.78,-31.90,152.46,-31.91
authorized,1,SALES-POS,8caa374e-b525-4314-82e2-b8a4d8828490,39595.08,2018-08-01,M,22,Carlton North,VIC,2018-08-01 15:52:02+00:00,39.92,CUS-3462882033,debit,145.03,-37.91,144.98,-37.78
authorized,1,POS,6f26079c-0269-473c-8db5-48c93b871572,1082.64,2018-08-01,M,44,Doncaster East,VIC,2018-08-01 15:58:15+00:00,8.1,CUS-1892177589,debit,144.79,-37.73,145.17,-37.76
posted,0,PAYMENT,,2335.35,2018-08-01,M,21,,,2018-08-01 16:00:00+00:00,55.0,CUS-1117979751,debit,115.81,-31.82,,
posted,0,PAY/SALARY,,16433.32,2018-08-01,F,34,,,2018-08-01 16:00:00+00:00,3903.73,CUS-1196156254,credit,138.52,-35.01,,
posted,0,PAYMENT,,8.06,2018-08-01,F,20,,,2018-08-01 16:00:00+00:00,35.0,CUS-164374203,debit,150.68,-33.79,,
posted,0,PAY/SALARY,,1796.37,2018-08-01,M,26,,,2018-08-01 16:00:00+00:00,1098.91,CUS-1646621553,credit,115.78,-31.90,,
posted,0,PAY/SALARY,,50383.16,2018-08-01,M,38,,,2018-08-01 16:00:00+00:00,2647.38,CUS-495599312,credit,130.98,-12.49,,
authorized,1,POS,0bf67b9f-7fa9-4458-8595-d1e738f26550,1691.91,2018-08-01,M,20,Newtown,NSW,2018-08-01 16:12:00+00:00,13.52,CUS-2688605418,debit,151.22,-33.87,151.18,-33.9
authorized,0,POS,eb3f245f-1016-416a-bab1-6743f6450d34,43.06,2018-08-01,F,20,Brookvale,NSW,2018-08-01 16:28:40+00:00,76.82,CUS-164374203,debit,150.68,-33.79,151.27,-33.77
authorized,0,POS,d8baa380-1cf2-485e-8b61-e6b73aab3400,186344.95,2018-08-01,F,40,Ballarat,VIC,2018-08-01 16:45:20+00:00,26.91,CUS-527400765,debit,143.83,-37.66,143.81,-37.55
posted,0,PAY/SALARY,,1244.45,2018-08-01,F,30,,,2018-08-01 17:00:00+00:00,1158.15,CUS-1271030853,credit,145.04,-37.85,,
posted,0,PAY/SALARY,,1969.05,2018-08-01,M,69,,,2018-08-01 17:00:00+00:00,1043.12,CUS-1388323263,credit,144.96,-37.76,,
posted,0,PAYMENT,,1162.08,2018-08-01,M,22,,,2018-08-01 17:00:00+00:00,33.0,CUS-1617121891,debit,255.00,-573.00,,
posted,0,PAY/SALARY,,1403.55,2018-08-01,F,20,,,2018-08-01 17:00:00+00:00,1395.49,CUS-164374203,credit,150.68,-33.79,,
posted,0,PAY/SALARY,,7094.77,2018-08-01,M,39,,,2018-08-01 17:00:00+00:00,3071.14,CUS-1790886359,credit,145.17,-37.84,,
posted,0,PAYMENT,,3021.94,2018-08-01,F,26,,,2018-08-01 17:00:00+00:00,50.0,CUS-2630892467,debit,149.03,-34.97,,
posted,0,PAYMENT,,300.09,2018-08-01,F,34,,,2018-08-01 17:00:00+00:00,168.0,CUS-4142663097,debit,130.90,-12.37,,
authorized,0,POS,a676e908-5124-4f59-b35c-4617dac98872,6941.78,2018-08-01,M,28,Junee,NSW,2018-08-01 17:01:07+00:00,22.59,CUS-4023861240,debit,147.63,-22.84,147.59,-34.86
authorized,1,SALES-POS,9ceb9e51-60f0-4e1a-9656-caad3dd9a75f,1067.36,2018-08-01,M,44,Reservoir,VIC,2018-08-01 17:10:33+00:00,15.28,CUS-1892177589,debit,144.79,-37.73,145.01,-37.72
authorized,1,SALES-POS,68c05695-d552-4a40-b4a8-cc9f8d88b18f,189.55,2018-08-01,F,18,Robertson,SA,2018-08-01 17:20:00+00:00,5.62,CUS-586638664,debit,150.79,-33.64,139,-33.97
authorized,1,SALES-POS,c50f2e29-5fb5-4ac5-a2ea-1ae575443069,492.41,2018-08-01,M,31,Haymarket,NSW,2018-08-01 17:38:52+00:00,93.79,CUS-3129499595,debit,150.92,-33.77,151.21,-33.88
authorized,1,SALES-POS,f15a375b-5aeb-48ff-a5c5-3334605186a0,2025.72,2018-08-01,F,23,Croydon,VIC,2018-08-01 17:48:18+00:00,14.86,CUS-2500783281,debit,145.01,-37.93,145.28,-37.79
authorized,1,SALES-POS,383aeeda-a0da-442e-b018-70389e109700,468.09,2018-08-01,F,34,Yarrawonga,NT,2018-08-01 17:57:44+00:00,18.59,CUS-4142663097,debit,130.90,-12.37,130.98,-12.47
posted,0,PAYMENT,,860.46,2018-08-01,F,24,,,2018-08-01 18:00:00+00:00,46.0,CUS-423725039,debit,116.00,-31.88,,
authorized,1,POS,44abc19c-aa5c-40bd-b1d0-9b2f236189ea,1006.85,2018-08-01,F,26,Bundall,QLD,2018-08-01 18:19:29+00:00,10.67,CUS-2487424745,debit,153.41,-27.95,153.41,-28.01
authorized,0,SALES-POS,5e4447f8-8083-40eb-b75f-f7e9a0583d3c,6022.68,2018-08-01,M,35,Peterborough,SA,2018-08-01 18:45:07+00:00,19.58,CUS-1896554896,debit,151.68,-32.98,138.84,-32.97
posted,0,PAYMENT,,7046.77,2018-08-01,M,39,,,2018-08-01 19:00:00+00:00,48.0,CUS-1790886359,debit,145.17,-37.84,,
authorized,1,SALES-POS,c6163a13-ed92-44bf-9bad-9535d4516888,27984.9,2018-08-01,M,21,Lavington,NSW,2018-08-01 19:04:09+00:00,26.75,CUS-2059096722,debit,146.92,-36.07,146.97,-36.04
authorized,1,POS,4ae2bdc0-e282-45f4-be7c-aa2853fda03b,823.53,2018-08-01,M,28,Docklands,VIC,2018-08-01 19:14:03+00:00,9.21,CUS-1140341822,debit,144.97,-37.42,144.94,-37.82
authorized,1,POS,5a3c0cad-eb95-43f2-9d62-c55f9d325ce9,16421.78,2018-08-01,F,34,North Wagga Wagga,NSW,2018-08-01 19:23:57+00:00,11.54,CUS-1196156254,debit,138.52,-35.01,147.38,-35.1
authorized,0,SALES-POS,73aac058-cb31-46c2-826d-29b161bfb23e,995.57,2018-08-01,F,26,Elanora,QLD,2018-08-01 19:33:51+00:00,11.28,CUS-2487424745,debit,153.41,-27.95,153.47,-28.13
authorized,1,SALES-POS,1b9ea2a4-61fe-4134-9042-b9b6d92aea7a,27953.53,2018-08-01,M,21,North Ward,QLD,2018-08-01 19:43:45+00:00,31.37,CUS-2059096722,debit,146.92,-36.07,146.81,-19.25
authorized,1,POS,fbf7bf9d-d2ed-4f83-a5e7-098cef476906,445.04,2018-08-01,M,37,Bucasia,QLD,2018-08-01 19:53:39+00:00,23.86,CUS-3201519139,debit,149.19,-21.15,149.16,-21.03
posted,0,PAYMENT,,4331.5,2018-08-01,M,19,,,2018-08-01 20:00:00+00:00,17.0,CUS-2317998716,debit,146.94,-36.04,,
posted,0,PAYMENT,,1992.72,2018-08-01,F,23,,,2018-08-01 20:00:00+00:00,33.0,CUS-2500783281,debit,145.01,-37.93,,
posted,0,INTER BANK,,117.08,2018-08-01,F,27,,,2018-08-01 20:00:00+00:00,33.0,CUS-3026014945,debit,116.06,-32.00,,
posted,0,PHONE BANK,,35322.36,2018-08-01,M,42,,,2018-08-01 20:00:00+00:00,36.0,CUS-3151318058,debit,144.98,-37.84,,
authorized,1,SALES-POS,3de54244-f7ba-46c9-aa99-01bd54625d25,1963.94,2018-08-01,F,40,Brisbane Airport,QLD,2018-08-01 20:09:28+00:00,65.11,CUS-1614226872,debit,153.10,-27.66,153.12,-27.39
authorized,0,SALES-POS,6ef562a8-928c-4f56-86f1-592357fd5daa,6924.65,2018-08-01,M,28,Seven Mile Beach,TAS,2018-08-01 20:35:47+00:00,17.13,CUS-4023861240,debit,147.63,-22.84,147.5,-42.86
posted,0,INTER BANK,,1679.94,2018-08-01,F,41,,,2018-08-01 21:00:00+00:00,43.0,CUS-2348881191,debit,144.93,-37.79,,
authorized,1,SALES-POS,92495e0a-61df-4c3d-9e2d-083ef2efed00,34.97,2018-08-01,F,27,Tullamarine,VIC,2018-08-01 21:01:28+00:00,7.29,CUS-1739931018,debit,147.61,-37.82,144.84,-37.67
authorized,1,POS,d2c81d3b-0816-4809-88e0-32d1451a8aa3,614.93,2018-08-01,M,20,Camberwell,VIC,2018-08-01 21:19:59+00:00,27.82,CUS-3325710106,debit,145.04,-37.92,145.06,-37.83
authorized,0,POS,d87e2b48-3fc5-47e4-87c5-014e56e493df,986.58,2018-08-01,F,26,Elanora,QLD,2018-08-01 21:38:31+00:00,8.99,CUS-2487424745,debit,153.41,-27.95,153.47,-28.13
authorized,0,POS,597b6106-331b-4d3d-86f8-03931dfcf86a,279.86,2018-08-01,M,38,Yass,NSW,2018-08-01 21:57:02+00:00,21.79,CUS-1604596597,debit,138.67,-34.86,148.91,-34.84
posted,0,PAYMENT,,1569.58,2018-08-01,F,19,,,2018-08-01 22:00:00+00:00,33.0,CUS-883482547,debit,150.82,-34.01,,
authorized,1,POS,4345dbd1-dfa8-4466-892a-4136a5ae08a2,976.26,2018-08-01,F,26,Labrador,QLD,2018-08-01 22:25:27+00:00,10.32,CUS-2487424745,debit,153.41,-27.95,153.41,-27.94
authorized,1,POS,a1faef96-3162-4cb0-bbd6-ec5771644123,94.45,2018-08-01,M,23,Yagoona,NSW,2018-08-01 22:55:45+00:00,19.04,CUS-511326734,debit,150.90,-34.37,151.01,-33.91
posted,0,PAYMENT,,1884.41,2018-08-01,M,44,,,2018-08-01 23:00:00+00:00,157.0,CUS-1233833708,debit,145.18,-37.90,,
posted,0,PAYMENT,,1767.37,2018-08-01,M,26,,,2018-08-01 23:00:00+00:00,29.0,CUS-1646621553,debit,115.78,-31.90,,
posted,0,PAYMENT,,7014.77,2018-08-01,M,39,,,2018-08-01 23:00:00+00:00,32.0,CUS-1790886359,debit,145.17,-37.84,,
authorized,1,SALES-POS,da3deefd-e453-4ba6-9d32-54edf2dfd93d,27923.06,2018-08-02,M,21,Docklands,VIC,2018-08-02 00:05:27+00:00,30.47,CUS-2059096722,debit,146.92,-36.07,144.95,-37.82
authorized,0,SALES-POS,ce1760f8-fa15-46c2-9e89-9f06b0654a4a,1074.43,2018-08-02,F,20,Rockingham,WA,2018-08-02 00:50:54+00:00,15.16,CUS-127297539,debit,115.79,-31.79,115.74,-32.29
